Rodada,Total Jogadores,Jogaram,Maior Pontuação,Média Pontuação
1,619,0,0.0,0.0
2,674,337,19.6,3.785252225519288
3,687,336,18.2,3.3058035714285716
4,695,302,20.5,4.090496688741721
5,703,337,21.7,3.519258160237388
6,712,334,26.0,3.611946107784431
7,714,301,24.1,3.7876079734219266
8,714,334,26.5,4.0249101796407185
9,717,335,18.6,3.442119402985074
10,720,301,18.9,3.221694352159468
11,726,333,20.7,3.957537537537538
12,727,199,18.5,3.796683417085427
13,718,264,26.2,3.4515530303030304
14,724,200,19.4,3.5512
15,730,337,20.8,3.5813353115727007
16,732,234,17.9,3.5132051282051284
17,740,335,17.7,3.263701492537314
18,742,336,20.3,3.4848214285714287
19,747,332,21.3,3.6396385542168677
20,756,333,18.5,3.5491891891891894
21,767,333,33.1,4.471951951951952
22,774,332,15.0,3.738825301204819
23,774,336,25.9,3.6073214285714292
24,775,334,16.5,3.3348203592814367
25,786,336,26.2,3.5391369047619046
26,787,300,25.2,3.519233333333333
27,789,337,20.6,3.8279525222551927
28,797,337,25.8,3.2998516320474782
29,798,337,21.0,3.678902077151335
30,800,334,25.1,3.707574850299401
31,802,335,19.7,3.6379701492537313
32,801,336,20.2,3.472767857142857
33,802,338,23.0,3.743284023668639
34,803,236,25.2,3.3822881355932206
35,805,306,23.7,3.480261437908497
36,806,237,22.1,3.6659071729957806
37,807,268,26.3,3.921268656716418
38,819,305,24.5,3.805180327868852
