Unnamed: 0,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
0,4.65,284,6,5.02,True,37281,9.36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,M. Menezes,7,mano-menezes,22,GRE,-0.13,Luis Antônio Venker de Menezes,16,Mano Menezes,,,,,,,,,,,,,4.0,,,,,,,,Técnico,114,65.96,Regular,False
1,3.85,354,6,5.29,True,37457,8.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,L. Condé,7,leo-conde,22,CEA,-0.19,Leonardo Rodrigues Condé,19,Léo Condé,,,,,,,,,,,,,6.0,,,,,,,,Técnico,141,57.83,Regular,False
2,7.6,266,1,3.37,True,37656,8.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,7,fabio,22,FLU,1.47,Fábio Deivson Lopes Maciel,20,Fábio,1.0,,,,2.0,,,,,,,5.0,,,49.0,1.0,28.0,,,,Goleiro,53,84.04,Bom,False
3,8.2,266,3,2.76,True,37715,8.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,T. Silva,7,thiago-silva,22,FLU,0.29,Thiago Emiliano da Silva,13,Thiago Silva,,5.0,6.0,3.0,5.0,,,,2.0,,1.0,4.0,,,,,,,,,Zagueiro,44,87.05,Bom,False
4,0.0,286,4,3.38,False,38913,5.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,6,nene,22,JUV,0.0,Anderson Luis de Carvalho - Luiz,11,Nenê,,2.0,2.0,3.0,14.0,1.0,,3.0,2.0,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
5,6.8,282,5,5.94,True,39148,14.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,7,hulk,22,CAM,0.05,Givanildo Vieira de Souza,17,Hulk,6.0,6.0,22.0,24.0,36.0,4.0,7.0,3.0,15.0,,1.0,,,,,,,,,,Atacante,69,79.37,Bom,False
6,2.2,282,4,1.77,True,39656,4.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,A. Franco,7,alan-franco,22,CAM,-0.04,Alan Steven Franco Palma,16,Alan Franco,1.0,19.0,19.0,2.0,10.0,,,,,,,,,,,,,,,,Meia,183,44.58,Regular,False
7,3.33,264,6,5.14,True,40990,9.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,D. Júnior,7,dorival-junior,22,COR,-0.73,Dorival Silvestre Júnior,16,Dorival Júnior,,,,,,,,,,,,,4.0,,,,,,,,Técnico,151,54.82,Regular,False
8,5.81,266,6,5.19,True,41929,9.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,R. Gaúcho,7,renato-gaucho,22,FLU,0.23,Renato Portaluppi,19,Renato Gaúcho,,,,,,,,,,,,,8.0,,,,,,,,Técnico,90,73.19,Bom,False
9,7.8,287,5,2.45,True,42222,4.86,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,7,osvaldo,22,VIT,1.22,Osvaldo Lourenço Filho,16,Osvaldo,3.0,8.0,6.0,7.0,13.0,,3.0,2.0,6.0,,1.0,,,,,,,,,,Atacante,49,85.54,Bom,False
