Unnamed: 0,atletas.posicao_id,atletas.apelido,atletas.variacao_num,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.clube.id.full.name,atletas.status_id,atletas.entrou_em_campo,atletas.slug,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.pontos_num,CA,DS,FC,FF,FS,G,I,FD,SG,A,PS,FT,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
0,6,Mano Menezes,0.09,9.45,23,17,5.04,Luis Antônio Venker de Menezes,GRE,7,True,mano-menezes,37281,M. Menezes,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.29,,,,,,,,,,,,,4.0,,,,,,,,Técnico,91,73.21,Bom,False
1,6,Léo Condé,0.1,8.22,23,20,5.26,Leonardo Rodrigues Condé,CEA,7,True,leo-conde,37457,L. Condé,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.61,,,,,,,,,,,,,6.0,,,,,,,,Técnico,104,69.35,Regular,False
2,1,Fábio,-1.23,7.66,23,21,3.16,Fábio Deivson Lopes Maciel,FLU,7,True,fabio,37656,Fábio,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,-1.0,1.0,,,,2.0,,,,5.0,,,,,,49.0,1.0,29.0,,,,Goleiro,328,2.38,Ruim,False
3,3,Thiago Silva,0.0,8.73,23,13,2.76,Thiago Emiliano da Silva,FLU,6,False,thiago-silva,37715,T. Silva,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,,5.0,6.0,3.0,5.0,,,2.0,4.0,,,1.0,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
4,4,Nenê,-0.67,4.53,23,12,3.16,Anderson Luis de Carvalho - Luiz,JUV,7,True,nene,38913,Nenê,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.7,,2.0,3.0,3.0,16.0,1.0,,2.0,,3.0,,,,,,,,,,,Meia,257,23.36,Regular,False
5,5,Hulk,-0.63,13.8,23,18,5.78,Givanildo Vieira de Souza,CAM,7,True,hulk,39148,Hulk,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3.0,7.0,7.0,22.0,24.0,41.0,4.0,7.0,15.0,,3.0,,1.0,,,,,,,,,Atacante,149,55.65,Regular,False
6,4,Alan Franco,0.86,5.35,23,17,2.12,Alan Steven Franco Palma,CAM,6,True,alan-franco,39656,A. Franco,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7.7,1.0,24.0,20.0,2.0,11.0,,,,,,,,,,,,,,,,Meia,47,86.01,Bom,False
7,6,Dorival Júnior,0.31,10.2,23,17,5.18,Dorival Silvestre Júnior,COR,7,True,dorival-junior,40990,D. Júnior,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5.76,,,,,,,,,,,,,5.0,,,,,,,,Técnico,75,77.98,Bom,False
8,6,Renato Gaúcho,-0.35,9.38,23,20,5.1,Renato Portaluppi,FLU,7,True,renato-gaucho,41929,R. Gaúcho,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.45,,,,,,,,,,,,,8.0,,,,,,,,Técnico,140,58.63,Regular,False
9,4,Willian,0.0,9.0,23,0,0.0,Willian Borges da Silva,GRE,6,False,willian,42135,Willian,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
10,5,Osvaldo,-0.96,3.9,23,17,2.34,Osvaldo Lourenço Filho,VIT,7,True,osvaldo,42222,Osvaldo,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.5,3.0,8.0,6.0,7.0,14.0,,3.0,6.0,,2.0,,1.0,,,,,,,,,Atacante,262,21.13,Regular,False
11,1,Cássio,-0.97,9.6,23,22,5.53,Cássio Roberto Ramos,CRU,7,True,cassio,42234,Cássio,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2.9,3.0,,,,1.0,,,,10.0,,,,,,64.0,1.0,16.0,,,,Goleiro,153,54.46,Regular,False
12,2,Fagner,0.0,8.51,23,9,6.1,Fagner Conserva Lemos,CRU,5,False,fagner,42500,Fagner,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,1.0,20.0,11.0,1.0,7.0,,1.0,,5.0,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
13,1,Walter,0.96,11.68,23,15,7.79,Walter Leandro Capeloza Artune,MIR,7,True,walter,51413,Walter,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,11.5,2.0,,,,3.0,,,,6.0,,,,,,65.0,2.0,11.0,,,,Goleiro,11,96.58,Muito Bom,True
14,4,Everton Ribeiro,-0.1,7.85,23,19,4.33,Everton Augusto de Barros Ribeiro,BAH,7,True,everton-ribeiro,51772,E. Ribeiro,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2.5,3.0,26.0,17.0,6.0,31.0,2.0,,4.0,,2.0,,1.0,,1.0,,,,,,,Meia,167,50.15,Regular,False
15,5,Gilberto,0.01,4.16,23,14,2.36,Gilberto Oliveira Souza Júnior,JUV,6,True,gilberto,61188,Gilberto,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,-0.3,4.0,3.0,17.0,4.0,11.0,2.0,4.0,7.0,,1.0,,,,,,,,,,,Atacante,307,6.99,Ruim,False
16,2,Alex Sandro,0.0,10.0,23,13,4.48,Alex Sandro Lobo Silva,FLA,6,False,alex-sandro,61987,A. Sandro,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,1.0,12.0,26.0,3.0,11.0,,1.0,1.0,8.0,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
17,4,Ganso,-0.07,5.49,23,14,1.18,Paulo Henrique Chagas de Lima,FLU,6,True,ganso,62977,Ganso,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.2,2.0,7.0,6.0,2.0,16.0,,,,,,,,,,,,,,,,Meia,275,18.15,Regular,False
18,4,Neymar,-0.58,13.81,23,13,4.78,Neymar da Silva Santos Júnior,SAN,7,True,neymar,63007,Neymar,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,2.2,4.0,3.0,15.0,9.0,49.0,3.0,2.0,9.0,,,,1.0,,1.0,,,,,,,Meia,181,45.98,Regular,False
19,3,Rafael Tolói,2.92,9.92,23,1,9.4,Rafael Toloi,SAO,7,True,rafael-toloi,63008,R. Tolói,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,9.4,,3.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,Zagueiro,30,91.07,Bom,True
20,2,Marcos Rocha,0.0,9.84,23,3,7.2,Marcos Luis Rocha Aquino,GRE,7,False,marcos-rocha,63013,M. Rocha,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,,10.0,2.0,,2.0,,,1.0,1.0,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
21,2,Alan Ruschel,0.32,5.29,23,13,2.4,Alan Luciano Ruschel,JUV,7,True,alan-ruschel,63110,A. Ruschel,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.3,2.0,11.0,10.0,,20.0,,3.0,,2.0,,,,,,,,,,,,Lateral,173,47.92,Regular,False
22,4,Edenílson,0.0,4.86,23,15,2.45,Edenílson Andrade dos Santos,GRE,6,False,edenilson,63289,Edenílson,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,4.0,8.0,9.0,2.0,16.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
